collection,sms_txt_dirty,sms_txt_clean,collection_log
ham,Oh k...i'm watching here:),oh k...i'm watch here:),1
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u rememb 2 spell name... yes did. v naughti make v wet.,1
ham,Fine if thatÂs the way u feel. ThatÂs the way its gota b,fine thatâ way u feel. thatâ way gota b,1
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+","england v macedonia - dont miss goals/team news. txt ur nation team 87077 eg england 87077 try:wales, scotland 4txt/ãº1.20 poboxox36504w45wq 16+",0
ham,Is that seriously how you spell his name?,serious spell name?,1
ham,Iâm going to try for 2 months ha ha only joking,iâm go tri 2 month ha ha joke,1
ham,So Ã¼ pay first lar... Then when is da stock comin...,ã¼ pay first lar... da stock comin...,1
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor. ard 3 smth lor. u finish ur lunch already?,1
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff. alright way meet sooner?,1
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forc eat slice. i'm realli hungri tho. sucks. mark get worried. know i'm sick turn pizza. lol,1
ham,Lol your always so convincing.,lol alway convincing.,1
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus ? fri egg ? make tea? eat mom left dinner ? feel love ?,1
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","i'm back &amp; we'r pack car now, i'll let know there room",1
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh. work. vagu rememb that! feel like? lol,1
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","wait that still clear, sure sarcast that x want live us",1
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologetic. n fallen actin like spoilt child got caught that. till 2! go there! bad cheers. you?,1
ham,K tell me anything about you.,k tell anyth you.,1
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework did? quick cuppa,1
spam,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscript rington uk mobil charg â£5/month pleas confirm repli yes no. repli charg,0
ham,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup... ok go home look time msg ã¼ again... xuhui go learn 2nd may lesson 8am,1
ham,"Oops, I'll let you know when my roommate's done","oops, i'll let know roommat done",1
ham,I see the letter B on my car,see letter b car,1
ham,Anything lor... U decide...,anyth lor... u decide...,1
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello! how saturday go? text see decid anyth tomo. i'm tri invit anything!,1
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts. want sure. great weekend. abiola,1
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","forget tell ? want , need you, crave ... ... love sweet arabian steed ... mmmmmm ... yummi",1
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - rodger burn - msg = tri call repli sms free nokia mobil + free camcorder. pleas call 08000930705 deliveri tomorrow,0
ham,WHO ARE YOU SEEING?,seeing?,1
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great! hope like man well endowed. &lt;#&gt; inches...,1
ham,No calls..messages..missed calls,calls..messages..miss call,1
ham,Didn't you get hep b immunisation in nigeria.,get hep b immunis nigeria.,1
ham,"Fair enough, anything going on?","fair enough, anyth go on?",1
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","yeah hopefully, tyler can't could mayb ask around bit",1
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u know stubborn am. even want go hospital. kept tell mark i'm weak sucker. hospit weak suckers.,1
ham,What you thinked about me. First time you saw me in class.,think me. first time saw class.,1
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","gram usual run like &lt;#&gt; , half eighth smarter though get almost whole second gram &lt;#&gt;",1
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride earli tomorrow morn he crash place tonight,1
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","wow. never realiz embarass accomodations. thought like it, sinc best could alway seem happi ""the cave"". i'm sorri give. i'm sorri offered. i'm sorri room embarassing.",1
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms. ac sptv: new jersey devil detroit red wing play ice hockey. correct incorrect? end? repli end sptv,0
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday? find @ &lt;url&gt;,1
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","congrats! 1 year special cinema pass 2 yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc 4 free! bx420-ip4-5we. 150pm. dont miss out!",0
ham,"Sorry, I'll call later in meeting.","sorry, i'll call later meeting.",1
ham,Tell where you reached,tell reach,1
ham,Yes..gauti and sehwag out of odi series.,yes..gauti sehwag odi series.,1
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick $1 burger way home. can't even move. pain kill me.,1
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke. girl situat seekers.,1
ham,Its a part of checking IQ,part check iq,1
ham,"Sorry my roommates took forever, it ok if I come by now?","sorri roommat took forever, ok come now?",1
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar doubl check wif da hair dresser alreadi said wun cut v short. said cut look nice.,1
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589","valu customer, pleas advis follow recent review mob no. award â£1500 bonus prize, call 09066364589",0
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","today ""song dedic day.."" song u dedic me? send ur valuabl frnds first rpli me...",1
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","urgent ur award complimentari trip eurodisinc trav, aco&entry41 â£1000. claim txt dis 87121 18+6*â£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",0
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","hear new ""divorc barbie""? come ken stuff!",0
ham,I plane to give on this month end.,plane give month end.,1
ham,Wah lucky man... Then can save money... Hee...,wah lucki man... save money... hee...,1
ham,Finished class where are you.,finish class you.,1
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wanna something? xx,1
ham,K..k:)where are you?how did you performed?,k..k:)where you?how performed?,1
ham,U can call me now...,u call now...,1
ham,I am waiting machan. Call me once you free.,wait machan. call free.,1
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool. gentleman treat digniti respect.,1
ham,I like you peoples very much:) but am very shy pa.,like peopl much:) shi pa.,1
ham,Does not operate after  &lt;#&gt;  or what,oper &lt;#&gt;,1
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,here. still look job. much ta earn there.,1
ham,"Sorry, I'll call later","sorry, i'll call later",1
ham,K. Did you call me just now ah? ,k. call ah?,1
ham,Ok i am on the way to home hi hi,ok way home hi hi,1
ham,You will be in the place of that man,place man,1
ham,Yup next stop.,yup next stop.,1
ham,"I call you later, don't have network. If urgnt, sms me.","call later, network. urgnt, sms me.",1
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u get yo? need 2 ticket one jacket i'm done. alreadi use multis.,1
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes start send request make pain came back i'm back bed. doubl coin factori too. gotta cash nitros.,1
ham,I'm really not up to it still tonight babe,i'm realli still tonight babe,1
ham,"Ela kano.,il download, come wen ur free..","ela kano.,il download, come wen ur free..",1
ham,Yeah do! Donât stand to close tho- youâll catch something!,yeah do! donât stand close tho- youâll catch something!,1
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorri pain. ok meet anoth night? spent late afternoon casualti mean done stuff42moro includ time sheet that. sorry.,1
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smiling!!,1
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,pleas call custom servic repres 0800 169 6031 10am-9pm guarante â£1000 cash â£5000 prize!,0
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plan buy later. check alreadi lido got 530 show e afternoon. u finish work already?,1
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","free rington wait collected. simpli text password ""mix"" 85069 verify. get usher britney. fml, po box 5249, mk17 92h. 450ppw 16",0
ham,Watching telugu movie..wat abt u?,watch telugu movie..wat abt u?,1
ham,i see. When we finish we have loads of loans to pay,see. finish load loan pay,1
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","hi. wk ok - hol now! yes bit run. forgot hairdress appoint four need get home n shower beforehand. caus prob u?""",1
ham,I see a cup of coffee animation,see cup coffe anim,1
ham,Please don't text me anymore. I have nothing else to say.,pleas text anymore. noth els say.,1
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal! wen pick up? u ave x am xx,1
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i'm still look car buy. gone 4the drive test yet.,1
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell (oru minnaminungint nurungu vettam) set callertun callers. press *9 copi friend callertun,1
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","wow. right! mean that. guess gave boston men chang search locat nyc, someth changed. cuz signin page still say boston.",1
ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,1
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday. thank make birthday truli memorable.,1
ham,"Aight, I'll hit you up when I get some cash","aight, i'll hit get cash",1
ham,How would my ip address test that considering my computer isn't a minecraft server,would ip address test consid comput minecraft server,1
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know! grumpi old people. mom like better lying. alway one play jokes...,1
ham,Dont worry. I guess he's busy.,dont worry. guess he busy.,1
ham,What is the plural of the noun research?,plural noun research?,1
ham,Going for dinner.msg you after.,go dinner.msg after.,1
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i'm ok wif cos like 2 tri new things. scare u dun like mah. cos u said loud.,1
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent! tri contact you. last weekend draw show â£1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,0
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","wa, ur openin sentenc formal... anyway, i'm fine too, juz tt i'm eatin much n puttin weight...haha... anythin special happened?",1
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","enter cabin pa said, '' happi b'day boss !!''. felt special. askd 4 lunch. lunch invit apartment. went there.",1
spam,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u special select 2 receiv â£1000 4* holiday (flight inc) speak live oper 2 claim 0871277810910p/min (18+),0
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo! yes must speak friday - egg-potato ratio tortilla needed!,1
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm...mi uncl inform he pay school directly. pls buy food.,1
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private! 2004 account statement 07742676969 show 786 unredeem bonus points. claim call 08719180248 identifi code: 45239 expir,0
spam,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","urgent! mobil no. award â£2000 bonus caller prize 5/9/03 final tri contact u! call landlin 09064019788 box42wr29c, 150ppm",0
ham,here is my new address -apples&pairs&all that malarky,new address -apples&pairs&al malarki,1
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end 7548 select receiv $350 award. match pleas call 08712300220 quot claim code 4041 standard rate app,0
ham,I am going to sao mu today. Will be done only at 12 ,go sao mu today. done 12,1
ham,Ã predict wat time Ã¼'ll finish buying?,ã predict wat time ã¼'ll finish buying?,1
ham,"Good stuff, will do.","good stuff, do.",1
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","know,yetund sent money yet. sent text bother sending. over, dont involv anything. impos anyth first place that, apologise.",1
ham,Are you there in room.,room.,1
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl. r u? hope u r well del r bak! long time c! give call sum time lucyxx,1
ham,K..k:)how much does it cost?,k..k:)how much cost?,1
ham,I'm home.,i'm home.,1
ham,"Dear, will call Tmorrow.pls accomodate.","dear, call tmorrow.pl accomodate.",1
ham,First answer my question.,first answer question.,1
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone,sunshin quiz wkli q! win top soni dvd player u know countri algarv in? txt ansr 82277. â£1.50 sp:tyron,0
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight? want real dog locat sent direct 2 ur mob? join uk largest dog network bt txting gravel 69888! nt. ec2a. 31p.msg@150p,0
ham,I only haf msn. It's yijue@hotmail.com,haf msn. yijue@hotmail.com,1
ham,He is there. You call and meet him,there. call meet,1
ham,No no. I will check all rooms befor activities,no. check room befor activ,1
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,rcv msgs chat svc. free hardcor servic text go to: 69988 u get noth u must age verifi yr network & tri,0
ham,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...,got c... lazi type... forgot ã¼ lect... saw pouch like v nice...,1
ham,"K, text me when you're on the way","k, text way",1
ham,"Sir, Waiting for your mail.","sir, wait mail.",1
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","swt thought: ""nver get tire littl thing 4 lovabl persons.."" coz..somtim littl thing occupi biggest part hearts.. gud ni8",1
ham,I know you are. Can you pls open the back?,know are. pls open back?,1
ham,Yes see ya not on the dot,yes see ya dot,1
ham,Whats the staff name who is taking class for us?,what staff name take class us?,1
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","freemsg repli text? i'm randy, sexy, femal live local. luv hear u. netcollex ltd 08700621170150p per msg repli stop end",0
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma.wil call check in.our life begin qatar pls pray hard.,1
ham,K..i deleted my contact that why?,k..i delet contact why?,1
ham,Sindu got job in birla soft ..,sindu got job birla soft ..,1
ham,The wine is flowing and i'm i have nevering..,wine flow i'm nevering..,1
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better cos need 2 go 2 plaza mah.,1
ham,Ok... Ur typical reply...,ok... ur typic reply...,1
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell (oru minnaminungint nurungu vettam) set callertun callers. press *9 copi friend callertun,1
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","everywher dirt, floor, windows, even shirt. sometim open mouth, come flow out. dream world without you, half chore too. time joy me, lot tv show i.ll see. guess like thing must exist, like rain, hail mist, time done, becom one.",1
ham,Aaooooright are you at work?,aaooooright work?,1
ham,I'm leaving my house now...,i'm leav hous now...,1
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","hello, love. doing? get interview today? happy? good boy? think me?ar miss ?",1
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,custom servic annoncement. new year deliveri wait you. pleas call 07046744435 arrang deliveri,0
spam,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u special select 2 receiv â£1000 cash 4* holiday (flight inc) speak live oper 2 claim 0871277810810,0
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe need miss alreadi envi everyon see real life,1
ham,New car and house for my parents.:)i have only new job in hand:),new car hous parents.:)i new job hand:),1
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i'm love you. i'm excit day spend you. make happy.,1
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,-pls stop bootydeli (32/f) invit friend. repli yes-434 no-434 see her: www.sms.ac/u/bootydeli stop? send stop frnd 62468,0
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu","bangbab ur order way. u receiv servic msg 2 download ur content. u not, goto wap. bangb. tv ur mobil internet/servic menu",0
ham,I place all ur points on e cultures module already.,place ur point e cultur modul already.,1
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent! tri contact you. last weekend draw show â£900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs,0
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?","hi frnd, best way avoid missunderstd wit belov one's?",1
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape. fanci bridg need lager. see tomo,1
ham,Yes :)it completely in out of form:)clark also utter waste.,yes :)it complet form:)clark also utter waste.,1
ham,"Sir, I need AXIS BANK account no and bank address.","sir, need axi bank account bank address.",1
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ","hmmm.. thk sure got time hop ard... ya, go 4 free abt... muz call u discuss liao...",1
ham,What time you coming down later? ,time come later?,1
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ","bloodi hell, cant believ forgot surnam mr . ill give u clue, spanish begin m...",1
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.","well, i'm gonna finish bath now. good...fin night.",1
ham,Let me know when you've got the money so carlos can make the call,let know got money carlo make call,1
ham,U still going to the mall?,u still go mall?,1
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth","turn friend stay whole show back til ~ &lt;#&gt; , feel free go ahead smoke $ &lt;#&gt; worth",1
ham,Text her. If she doesnt reply let me know so i can have her log in,text her. doesnt repli let know log,1
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi! spoke maneesha v. we'd like know satisfi experience. repli toll free yes no.,1
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lift hope offer money. need. especi end month approach hurt studying. anyway gr8 weekend,1
ham,Lol no. U can trust me.,lol no. u trust me.,1
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok. gentleman treat digniti respect.,1
ham,"He will, you guys close?","will, guy close?",1
ham,Going on nothing great.bye,go noth great.by,1
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsom ! find job ? lazi ? work toward get back net mummi ? where boytoy ? miss ?,1
ham,"Haha awesome, be there in a minute","haha awesome, minut",1
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,pleas call custom servic repres freephon 0808 145 4742 9am-11pm guarante â£1000 cash â£5000 prize!,0
ham,Have you got Xmas radio times. If not i will get it now,got xmas radio times. get,1
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reach home. go bath first. sis use net tell u finish k...,1
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,uniqu enough? find 30th august. www.areyouunique.co.uk,0
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i'm sorry. i'v join leagu peopl dont keep touch. mean great deal me. friend time even great person cost. great week.|,1
ham,Hi :)finally i completed the course:),hi :)final complet course:),1
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop itself. howev suggest stay someon abl give or everi stool.,1
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,doing? hope settl new school year. wishin gr8 day,1
ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day,1
ham,Did u got that persons story,u got person stori,1
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead? hey tmr meet 1pm orchard mrt?,1
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate evening? hope see tomorrow bit bloodi babyjontet! txt back u can. :) xxx,1
ham,"Found it, ENC  &lt;#&gt; , where you at?","found it, enc &lt;#&gt; , at?",1
ham,I sent you  &lt;#&gt;  bucks,sent &lt;#&gt; buck,1
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finish colleg txt u finish u love kate xxx,1
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refil success inr &lt;decimal&gt; . keralacircl prepaid account balanc rs &lt;decimal&gt; . transact id kr &lt;#&gt; .,1
ham,Goodmorning sleeping ga.,goodmorn sleep ga.,1
ham,U call me alter at 11 ok.,u call alter 11 ok.,1
ham,Ã say until like dat i dun buy ericsson oso cannot oredi lar...,ã say like dat dun buy ericsson oso cannot oredi lar...,1
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","enter cabin pa said, '' happi b'day boss !!''. felt special. askd 4 lunch. lunch invit apartment. went there.",1
ham,"Aight yo, dats straight dogg","aight yo, dat straight dogg",1
